FL_Test | INFO flwr 2024-07-24 12:07:06,334 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL_Test | INFO flwr 2024-07-24 12:07:06,351 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL_Test | INFO flwr 2024-07-24 12:07:06,351 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-07-24 12:07:06,351 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-07-24 12:08:11,539 | server.py:280 | Received initial parameters from one random client
FL_Test | INFO flwr 2024-07-24 12:08:11,544 | server.py:91 | Evaluating initial parameters
FL_Test | INFO flwr 2024-07-24 12:08:11,544 | server.py:104 | FL starting
FL_Test | DEBUG flwr 2024-07-24 12:08:18,221 | server.py:222 | fit_round 1: strategy sampled 3 clients (out of 3)
FL_Test | DEBUG flwr 2024-07-24 12:08:20,162 | server.py:236 | fit_round 1 received 3 results and 0 failures
FL_Test | DEBUG flwr 2024-07-24 12:08:20,172 | server.py:173 | evaluate_round 1: strategy sampled 3 clients (out of 3)
FL_Test | DEBUG flwr 2024-07-24 12:08:22,925 | server.py:187 | evaluate_round 1 received 3 results and 0 failures
FL_Test | DEBUG flwr 2024-07-24 12:08:22,926 | server.py:222 | fit_round 2: strategy sampled 3 clients (out of 3)
FL_Test | DEBUG flwr 2024-07-24 12:08:24,850 | server.py:236 | fit_round 2 received 3 results and 0 failures
FL_Test | DEBUG flwr 2024-07-24 12:08:24,851 | server.py:173 | evaluate_round 2: strategy sampled 3 clients (out of 3)
FL_Test | DEBUG flwr 2024-07-24 12:08:27,481 | server.py:187 | evaluate_round 2 received 3 results and 0 failures
FL_Test | INFO flwr 2024-07-24 12:08:27,481 | server.py:153 | FL finished in 15.935608200000388
FL_Test | INFO flwr 2024-07-24 12:08:27,500 | app.py:226 | app_fit: losses_distributed [(1, 3.4279539585113525), (2, 3.4486045042673745)]
FL_Test | INFO flwr 2024-07-24 12:08:27,500 | app.py:227 | app_fit: metrics_distributed_fit {'Accuracy': [(1, 0.0), (2, 0.0)], 'Precision': [(1, 0.0), (2, 0.0)], 'Recall': [(1, 0.0), (2, 0.0)], 'F1_Score': [(1, 0.0), (2, 0.0)]}
FL_Test | INFO flwr 2024-07-24 12:08:27,500 | app.py:228 | app_fit: metrics_distributed {'Accuracy': [(1, 0.904894), (2, 0.904321)], 'Precision': [(1, 1.0), (2, 1.0)], 'Recall': [(1, 0.904894), (2, 0.904321)], 'F1_Score': [(1, 0.950063), (2, 0.949747)]}
FL_Test | INFO flwr 2024-07-24 12:08:27,500 | app.py:229 | app_fit: losses_centralized []
FL_Test | INFO flwr 2024-07-24 12:08:27,500 | app.py:230 | app_fit: metrics_centralized {}
